model,mode,mae,rmse,r2,n,domain
ridge,cross_participant,0.0343830954916037,0.0422546551624133,0.0400237188245203,250,language
random_forest,cross_participant,0.0348333306851344,0.0431724532676447,-0.0021317809404972,250,language
gbr,cross_participant,0.0358253079392214,0.0450524995272281,-0.0913125779342309,250,language
baseline_mean,cross_participant,0.0359574992832545,0.0432179566136101,-0.0042453685103511,250,language
baseline_mean,cross_participant,0.0413270537240893,0.0515528105904977,-0.001703364550579,250,attention
ridge,cross_participant,0.0415050463444646,0.0516057630657884,-0.0037622208358423,250,attention
random_forest,cross_participant,0.0441510547024407,0.0540652878733745,-0.101720618288027,250,attention
gbr,cross_participant,0.0475923514176703,0.0580456643848917,-0.2699131213573824,250,attention
ridge,cross_participant,0.0544118706519579,0.0668095032708133,0.2129041935929785,250,memory
random_forest,cross_participant,0.0551484262908115,0.0693192695224925,0.1526573473898287,250,memory
gbr,cross_participant,0.0593697765222364,0.0739052902169134,0.0368317312754993,250,memory
baseline_mean,cross_participant,0.0607121858673468,0.075489367658181,-0.0048996337127484,250,memory
mixedlm_blup,temporal_holdout,0.8567039192523266,1.110694108815364,0.9039807431629308,250,memory
ols,temporal_holdout,0.8663033749341694,1.1115358184596742,0.9038351567991687,250,memory
theilsen,temporal_holdout,0.9616855156811168,1.2333644112030495,0.8815998564359933,250,memory
ols,temporal_holdout,2.0971246018525034,2.683282118253953,0.8537933173117751,250,language
theilsen,temporal_holdout,2.1952937847833107,2.793614668705392,0.8415225205058965,250,language
mixedlm_population_only,temporal_holdout,2.454470892417169,3.031961346472394,0.28448832547785874,250,memory
ols,temporal_holdout,3.3422069102111744,4.24911574455579,0.7607407214883103,250,attention
theilsen,temporal_holdout,3.681590920347479,4.633076888908656,0.715546893188175,250,attention
mixedlm_blup,temporal_holdout,4.504989972970995,5.115155904763297,0.4686847263331233,250,language
mixedlm_population_only,temporal_holdout,4.548580004410836,5.231591468107211,0.4442209191731201,250,language
mixedlm_population_only,temporal_holdout,11.099332748958195,11.68149745232658,-0.8082925930626181,250,attention
mixedlm_blup,temporal_holdout,11.102421955373435,11.653198071915673,-0.7995417331437917,250,attention
